ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",745670,0,0.5421,0.4579,0,587954,0.5007,0.4993,0.0586,0.4123,0.0127,0.0217,0.0013,
"2",745671,0,0.6649,0.3351,0,573899,0.6011,0.3989,0.0932,0.1818,0.1111,0.0172,0.0015,
"3",745670,0,0.384,0.616,0,585030,0.674,0.326,0.0934,0.1889,0.022,0.0247,0.0034,
"4",745670,0,0.693,0.307,0,592756,0.5564,0.4436,0.1091,0.2664,0.0536,0.0216,0.0011,
"5",745671,0,0.4206,0.5794,0,595218,0.7569,0.2431,0.0815,0.1251,0.0179,0.0213,0.0012,
"6",745670,0,0.5824,0.4176,0,584671,0.5469,0.4531,0.0796,0.3165,0.0434,0.0212,0.0012,
"7",745671,0,0.4524,0.5476,0,594014,0.649,0.351,0.0626,0.1901,0.016,0.0858,0.002,
"8",745670,0,0.3557,0.6443,0,569681,0.7268,0.2732,0.0818,0.1448,0.0237,0.0237,0.001,
"9",745672,0,0.4693,0.5307,0,570792,0.5898,0.4102,0.1073,0.2457,0.0277,0.0383,0.0038,
"10",745670,0,0.3333,0.6667,0,585673,0.7852,0.2148,0.0628,0.1051,0.0242,0.0232,0.0011,
"11",745670,0,0.481,0.519,0,609835,0.8466,0.1534,0.0616,0.0401,0.0129,0.0352,0.0022,
"12",745672,0,0.6749,0.3251,0,564827,0.4375,0.5625,0.1328,0.3596,0.061,0.0204,0.0014,
"13",745670,0,0.5344,0.4656,0,559753,0.6176,0.3824,0.1121,0.2204,0.0329,0.0219,0.0015,
"14",745671,0,0.6149,0.3851,0,580996,0.6035,0.3965,0.1116,0.2068,0.0634,0.0192,0.0012,
"",745671,0,0.5144,0.4856,0,582507,0.6364,0.3636,0.0888,0.2137,0.0371,0.0284,0.0017,
